Fläche,Fragen
207.71,Welche Fläche nimmt Sangerhausen ein?
109.02,Wie viele Quadratmeter umfasst die Stadt Rinteln?
119.76,Wie viele Quadratmeter umfasst die Stadt Horb am Neckar?
113.53,Welche Fläche nimmt St. Wendel ein?
66.74,Wie viele Quadratmeter umfasst die Stadt Helmstedt?
229.16,Wie viele Quadratmeter umfasst die Stadt Brilon?
79.76,Wie groß ist die Fläche der Stadt Idstein?
24.60,Wie viele Quadratmeter umfasst die Stadt Geretsried?
71.37,Wie viele Quadratmeter umfasst die Stadt Verl?
135.59,Wie groß ist die Fläche von Lennestadt?
12.16,Wie groß ist die Fläche von Weingarten?
96.33,Welche Fläche nimmt Roth ein?
53.26,Wie groß ist die Fläche der Stadt Wiehl?
67.79,Welche Fläche nimmt Öhringen ein?
109.80,Wie groß ist die Fläche von Salzkotten?
211.94,Wie viele Quadratmeter umfasst die Stadt Petershagen?
71.76,Wie groß ist die Fläche von Rottweil?
13.62,Wie groß ist die Fläche der Stadt Obertshausen?
45.68,Wie groß ist die Fläche von Stutensee?
42.54,Wie groß ist die Fläche von Pfungstadt?
77.46,Wie groß ist die Fläche von Köthen (Anhalt)?
85.92,Wie groß ist die Fläche von Delitzsch?
106.33,Welche Fläche nimmt Norden ein?
140.54,Welche Fläche nimmt Lüdinghausen ein?
52.59,Wie groß ist die Fläche von Bad Oldesloe?
30.38,Wie groß ist die Fläche von Ditzingen?
84.21,Wie viele Quadratmeter umfasst die Stadt Espelkamp?
96.75,Wie viele Quadratmeter umfasst die Stadt Plettenberg?
303.10,Welche Fläche nimmt Schmallenberg ein?
34.84,Wie groß ist die Fläche der Stadt Meckenheim?
85.88,Wie viele Quadratmeter umfasst die Stadt Olpe?
47.94,Wie groß ist die Fläche von Sprockhövel?
31.48,Welche Fläche nimmt Markkleeberg ein?
127.38,Wie groß ist die Fläche von Ellwangen (Jagst)?
105.64,Welche Fläche nimmt Meiningen ein?
66.75,Wie viele Quadratmeter umfasst die Stadt Zittau?
135.18,Wie viele Quadratmeter umfasst die Stadt Rudolstadt?
128.11,Wie groß ist die Fläche der Stadt Syke?
158.05,Wie groß ist die Fläche der Stadt Warstein?
146.67,Wie groß ist die Fläche von Staßfurt?
129.96,Welche Fläche nimmt Bad Mergentheim ein?
37.82,Wie groß ist die Fläche der Stadt Ronnenberg?
97.92,Wie viele Quadratmeter umfasst die Stadt Attendorn?
77.96,Wie groß ist die Fläche von Waldshut-Tiengen?
208.79,Wie viele Quadratmeter umfasst die Stadt Haren (Ems)?
47.62,Wie groß ist die Fläche der Stadt Herzogenaurach?
113.10,Wie viele Quadratmeter umfasst die Stadt Rathenow?
26.09,Wie groß ist die Fläche von Übach-Palenberg?
113.75,Wie viele Quadratmeter umfasst die Stadt Varel?
21.56,Wie groß ist die Fläche von Waldkraiburg?
73.73,Wie groß ist die Fläche von Riedstadt?
80.42,Welche Fläche nimmt Bedburg ein?
103.58,Welche Fläche nimmt Sehnde ein?
59.88,Wie groß ist die Fläche der Stadt Calw?
87.54,Welche Fläche nimmt Freudenstadt ein?
50.21,Wie viele Quadratmeter umfasst die Stadt Limbach-Oberfrohna?
71.87,Wie viele Quadratmeter umfasst die Stadt Jüchen?
25.80,Wie groß ist die Fläche der Stadt Husum?
61.85,Wie viele Quadratmeter umfasst die Stadt Starnberg?
179.56,Welche Fläche nimmt Westerstede ein?
120.52,Wie viele Quadratmeter umfasst die Stadt Quedlinburg?
62.16,Wie groß ist die Fläche von Mosbach?
121.17,Welche Fläche nimmt Hann. Münden ein?
124.11,Wie groß ist die Fläche von Korbach?
127.56,Wie groß ist die Fläche von Senftenberg/Zły Komorow?
91.75,Wie groß ist die Fläche von Döbeln?
83.76,Welche Fläche nimmt Dillenburg ein?
45.15,Wie groß ist die Fläche der Stadt Gelnhausen?
23.11,Wie groß ist die Fläche von Kaltenkirchen?
137.39,Wie groß ist die Fläche von Netphen?
84.69,Wie groß ist die Fläche von Sonneberg?
174.97,Wie groß ist die Fläche der Stadt Leutkirch im Allgäu?
12.50,Welche Fläche nimmt Bad Soden am Taunus ein?
304.57,Wie viele Quadratmeter umfasst die Stadt Salzwedel?
152.02,Wie groß ist die Fläche der Stadt Bad Salzungen?
168.84,Welche Fläche nimmt Warburg ein?
63.47,Wie groß ist die Fläche von Eisenhüttenstadt?
34.01,Wie viele Quadratmeter umfasst die Stadt Gersthofen?
43.94,Welche Fläche nimmt Karben ein?
122.88,Wie viele Quadratmeter umfasst die Stadt Büdingen?
138.59,Wie viele Quadratmeter umfasst die Stadt Wertheim?
135.83,Welche Fläche nimmt Vreden ein?
55.50,Wie groß ist die Fläche der Stadt Weilheim i.OB?
22.39,Wie groß ist die Fläche von Herdecke?
58.64,Wie groß ist die Fläche der Stadt Überlingen?
25.22,Welche Fläche nimmt Neusäß ein?
63.10,Welche Fläche nimmt Nagold ein?
25.21,Wie groß ist die Fläche der Stadt Senden?
69.92,Wie viele Quadratmeter umfasst die Stadt Bad Kissingen?
247.50,Welche Fläche nimmt Friesoythe ein?
61.79,Wie groß ist die Fläche von Laupheim?
90.79,Wie groß ist die Fläche der Stadt Lengerich?
46.99,Wie groß ist die Fläche der Stadt Kitzingen?
143.94,Wie groß ist die Fläche von Eisleben?
164.15,Wie groß ist die Fläche von Burg?
46.26,Wie groß ist die Fläche der Stadt Apolda?
60.27,Wie groß ist die Fläche der Stadt Stadthagen?
99.06,Wie groß ist die Fläche der Stadt Rotenburg (Wümme)?
104.69,Wie groß ist die Fläche der Stadt Donaueschingen?
34.55,Wie viele Quadratmeter umfasst die Stadt Metzingen?
43.16,Wie groß ist die Fläche der Stadt Quickborn?
88.58,Wie viele Quadratmeter umfasst die Stadt Eppingen?
633.23,Wie groß ist die Fläche der Stadt Gardelegen?
53.86,Wie groß ist die Fläche der Stadt Radevormwald?
51.62,Wie viele Quadratmeter umfasst die Stadt Glauchau?
48.47,Welche Fläche nimmt Waldkirch ein?
73.56,Wie groß ist die Fläche von Bad Rappenau?
31.97,Welche Fläche nimmt Heide ein?
85.57,Welche Fläche nimmt Versmold ein?
65.52,Wie groß ist die Fläche von Bad Harzburg?
66.17,Wie viele Quadratmeter umfasst die Stadt Elsdorf?
12.13,Wie groß ist die Fläche der Stadt Eschborn?
22.99,Wie groß ist die Fläche von Flörsheim am Main?
34.84,Welche Fläche nimmt Hockenheim ein?
46.55,Welche Fläche nimmt Sonthofen ein?
69.70,Wie groß ist die Fläche der Stadt Halle (Westf.)?
21.58,Wie viele Quadratmeter umfasst die Stadt Eckernförde?
92.83,Wie groß ist die Fläche von Aichach?
72.43,Wie groß ist die Fläche der Stadt Xanten?
202.32,Wie viele Quadratmeter umfasst die Stadt Spremberg/Grodk?
21.50,Wie viele Quadratmeter umfasst die Stadt Schwetzingen?
97.89,Welche Fläche nimmt Geseke ein?
30.85,Wie viele Quadratmeter umfasst die Stadt Seligenstadt?
16.41,Welche Fläche nimmt Eislingen/Fils ein?
170.99,Welche Fläche nimmt Büren ein?
102.54,Wie groß ist die Fläche der Stadt Osterode am Harz?
203.77,Welche Fläche nimmt Soltau ein?
29.42,Welche Fläche nimmt Mühldorf a.Inn ein?
468.94,Wie groß ist die Fläche von Zerbst/Anhalt?
55.40,Wie groß ist die Fläche von Günzburg?
12.24,Welche Fläche nimmt Puchheim ein?
42.84,Welche Fläche nimmt Waghäusel ein?
78.24,Wie groß ist die Fläche von Stadtallendorf?
159.46,Welche Fläche nimmt Waren (Müritz) ein?
109.86,Welche Fläche nimmt Rees ein?
35.69,Welche Fläche nimmt Bad Krozingen ein?
32.27,Wie groß ist die Fläche der Stadt Wülfrath?
86.84,Wie groß ist die Fläche der Stadt Groß-Umstadt?
80.70,Wie groß ist die Fläche der Stadt Schramberg?
201.21,Welche Fläche nimmt Sondershausen ein?
118.30,Wie groß ist die Fläche von Wipperfürth?
48.57,Wie groß ist die Fläche der Stadt Traunstein?
45.06,Wie groß ist die Fläche von Traunreut?
21.68,Welche Fläche nimmt Germersheim ein?
89.70,Wie groß ist die Fläche von Wildeshausen?
68.09,Wie groß ist die Fläche von Nördlingen?
29.69,Wie groß ist die Fläche von Bruchköbel?
101.01,Wie groß ist die Fläche von Zülpich?
68.79,Welche Fläche nimmt Schortens ein?
50.03,Wie viele Quadratmeter umfasst die Stadt Mössingen?
46.73,Welche Fläche nimmt Nidderau ein?
115.69,Wie groß ist die Fläche der Stadt Meinerzhagen?
46.61,Welche Fläche nimmt Luckenwalde ein?
63.76,Wie groß ist die Fläche von Herborn?
107.54,Wie groß ist die Fläche von Hörstel?
41.24,Wie viele Quadratmeter umfasst die Stadt Enger?
25.88,Wie viele Quadratmeter umfasst die Stadt Coswig?
79.25,Wie viele Quadratmeter umfasst die Stadt Stadtlohn?
56.23,Wie groß ist die Fläche der Stadt Fröndenberg/Ruhr?
210.16,Wie groß ist die Fläche der Stadt Wittmund?
28.06,Wie viele Quadratmeter umfasst die Stadt Schifferstadt?
65.62,Wie groß ist die Fläche von Werdau?
32.31,Welche Fläche nimmt Rheinstetten ein?
18.39,Welche Fläche nimmt Bad Schwartau ein?
44.00,Wie viele Quadratmeter umfasst die Stadt Dingolfing?
108.55,Welche Fläche nimmt Bad Waldsee ein?
108.21,Wie groß ist die Fläche von Blieskastel?
180.39,Welche Fläche nimmt Zossen ein?
152.85,Wie groß ist die Fläche von Burgwedel?
139.89,Wie viele Quadratmeter umfasst die Stadt Neustrelitz?
95.64,Wie groß ist die Fläche der Stadt Duderstadt?
122.16,Welche Fläche nimmt Lichtenfels ein?
84.86,Welche Fläche nimmt Greiz ein?
34.47,Wie groß ist die Fläche von Reichenbach im Vogtland?
115.79,Wie groß ist die Fläche von Leinefelde-Worbis?
90.90,Welche Fläche nimmt Telgte ein?
69.10,Welche Fläche nimmt Oberkirch ein?
67.93,Wie viele Quadratmeter umfasst die Stadt Schopfheim?
105.63,Wie viele Quadratmeter umfasst die Stadt Ochtrup?
36.43,Wie groß ist die Fläche der Stadt Aue-Bad Schlema?
44.07,Wie viele Quadratmeter umfasst die Stadt Giengen an der Brenz?
88.24,Wie groß ist die Fläche von Holzminden?
71.25,Wie viele Quadratmeter umfasst die Stadt Tettnang?
22.05,Wie viele Quadratmeter umfasst die Stadt Dillingen/ Saar?
17.01,Wie groß ist die Fläche von Gerlingen?
77.04,Wie groß ist die Fläche der Stadt Donauwörth?
125.56,Wie viele Quadratmeter umfasst die Stadt Ennigerloh?
102.82,Wie viele Quadratmeter umfasst die Stadt Torgau?
63.32,Wie groß ist die Fläche der Stadt Waldbröl?
105.38,Welche Fläche nimmt Schmalkalden ein?
75.59,Wie viele Quadratmeter umfasst die Stadt Dillingen a.d.Donau?
20.71,Wie viele Quadratmeter umfasst die Stadt Korntal-Münchingen?
24.71,Wie viele Quadratmeter umfasst die Stadt Bad Friedrichshall?
43.00,Welche Fläche nimmt Sarstedt ein?
9.99,Wie viele Quadratmeter umfasst die Stadt Schenefeld?
182.22,Wie viele Quadratmeter umfasst die Stadt Marsberg?
49.64,Wie groß ist die Fläche von Wittlich?
68.90,Wie groß ist die Fläche von Bückeburg?
78.90,Wie groß ist die Fläche der Stadt Rhede?
58.19,Wie groß ist die Fläche von Mayen?
25.05,Welche Fläche nimmt Mölln ein?
106.73,Wie viele Quadratmeter umfasst die Stadt Haiger?
43.85,Wie groß ist die Fläche der Stadt Moosburg a.d.Isar?
61.99,Wie viele Quadratmeter umfasst die Stadt Bad Pyrmont?
63.26,Wie viele Quadratmeter umfasst die Stadt Eschwege?
148.98,Welche Fläche nimmt Blankenburg (Harz) ein?
57.92,Welche Fläche nimmt Sachsenheim ein?
188.92,Wie groß ist die Fläche von Oschersleben (Bode)?
57.91,Wie viele Quadratmeter umfasst die Stadt Müllheim?
41.40,Welche Fläche nimmt Bad Aibling ein?
19.03,Welche Fläche nimmt Heusenstamm ein?
43.17,Wie groß ist die Fläche von Weil der Stadt?
66.41,Wie viele Quadratmeter umfasst die Stadt Hechingen?
102.32,Wie viele Quadratmeter umfasst die Stadt Seesen?
28.15,Wie groß ist die Fläche von Annaberg-Buchholz?
53.12,Welche Fläche nimmt Sulzbach-Rosenberg ein?
35.22,Wie viele Quadratmeter umfasst die Stadt Alzey?
30.80,Welche Fläche nimmt Bad Tölz ein?
62.45,Welche Fläche nimmt Borna ein?
156.21,Welche Fläche nimmt Haldensleben ein?
115.30,Wie groß ist die Fläche der Stadt Bad Driburg?
9.13,Wie groß ist die Fläche der Stadt Wolfratshausen?
234.92,Wie groß ist die Fläche der Stadt Schneverdingen?
42.43,Wie groß ist die Fläche der Stadt Wassenberg?
19.81,Wie viele Quadratmeter umfasst die Stadt Burghausen?
268.14,Wie groß ist die Fläche von Nauen?
31.73,Wie groß ist die Fläche von Hemmingen?
95.15,Wie groß ist die Fläche der Stadt Marktoberdorf?
30.14,Wie viele Quadratmeter umfasst die Stadt Pfullingen?
87.57,Welche Fläche nimmt Sömmerda ein?
275.52,Wie groß ist die Fläche der Stadt Bad Berleburg?
142.96,Wie groß ist die Fläche von Prenzlau?
64.21,Wie viele Quadratmeter umfasst die Stadt Lebach?
27.33,Wie viele Quadratmeter umfasst die Stadt Burscheid?
29.83,Welche Fläche nimmt Radeberg ein?
150.42,Wie groß ist die Fläche von Bremervörde?
19.83,Welche Fläche nimmt Kolbermoor ein?
97.58,Welche Fläche nimmt Weißenburg i.Bay. ein?
102.55,Wie groß ist die Fläche der Stadt Bad Dürkheim?
81.47,Wie groß ist die Fläche von Schkeuditz?
72.88,Wie viele Quadratmeter umfasst die Stadt Alfeld (Leine)?
59.30,Wie groß ist die Fläche von Alzenau?
11.43,Wie groß ist die Fläche von Uetersen?
41.92,Wie groß ist die Fläche von Bad Reichenhall?
31.15,Wie groß ist die Fläche von Renningen?
37.89,Wie groß ist die Fläche von Bergneustadt?
11.21,Wie groß ist die Fläche der Stadt Glinde?
76.93,Wie groß ist die Fläche der Stadt Vlotho?
18.58,Welche Fläche nimmt Kronberg im Taunus ein?
19.47,Welche Fläche nimmt Hochheim am Main ein?
44.57,Welche Fläche nimmt Konz ein?
131.62,Wie groß ist die Fläche der Stadt Wörth am Rhein?
23.95,Wie viele Quadratmeter umfasst die Stadt Püttlingen?
120.32,Wie viele Quadratmeter umfasst die Stadt Hessisch Oldendorf?
61.15,Wie groß ist die Fläche der Stadt Crimmitschau?
84.79,Wie viele Quadratmeter umfasst die Stadt Schwalmstadt?
13.97,Welche Fläche nimmt Vellmar ein?
37.62,Welche Fläche nimmt Lahnstein ein?
130.36,Wie groß ist die Fläche von Großenhain?
38.00,Wie viele Quadratmeter umfasst die Stadt Pohlheim?
36.39,Wie viele Quadratmeter umfasst die Stadt Illertissen?
55.52,Wie groß ist die Fläche der Stadt Auerbach/Vogtl.?
50.26,Wie groß ist die Fläche von Bobingen?
138.93,Welche Fläche nimmt Buchen (Odenwald) ein?
12.08,Wie viele Quadratmeter umfasst die Stadt Oberasbach?
124.86,Wie viele Quadratmeter umfasst die Stadt Frankenberg (Eder)?
33.38,Wie groß ist die Fläche der Stadt Werdohl?
54.60,Wie groß ist die Fläche der Stadt Freudenberg?
97.33,Welche Fläche nimmt Bad Saulgau ein?
25.35,Welche Fläche nimmt Bad Säckingen ein?
110.70,Welche Fläche nimmt Forst (Lausitz)/Baršć (Łužyca) ein?
18.87,Wie groß ist die Fläche der Stadt Bad Segeberg?
75.26,Wie viele Quadratmeter umfasst die Stadt Schrobenhausen?
31.09,Wie viele Quadratmeter umfasst die Stadt Bexbach?
14.81,Welche Fläche nimmt Freilassing ein?
124.81,Welche Fläche nimmt Parchim ein?
33.21,Wie groß ist die Fläche der Stadt Remagen?
107.97,Wie groß ist die Fläche der Stadt Bad Münder am Deister?
41.10,Wie groß ist die Fläche der Stadt Sinzig?
104.39,Wie viele Quadratmeter umfasst die Stadt Damme?
118.33,Welche Fläche nimmt Nidda ein?
28.17,Wie groß ist die Fläche von Garching b.München?
92.84,Wie viele Quadratmeter umfasst die Stadt Sigmaringen?
86.29,Wie viele Quadratmeter umfasst die Stadt Vilshofen an der Donau?
120.10,Welche Fläche nimmt Bad Wildungen ein?
104.70,Welche Fläche nimmt Diepholz ein?
80.84,Wie viele Quadratmeter umfasst die Stadt Gescher?
129.37,Wie viele Quadratmeter umfasst die Stadt Bad Langensalza?
150.83,Wie groß ist die Fläche von Bad Münstereifel?
90.15,Wie groß ist die Fläche der Stadt Horn-Bad Meinberg?
69.73,Wie groß ist die Fläche von Stockach?
24.20,Wie groß ist die Fläche von Trossingen?
80.69,Wie groß ist die Fläche von Cham?
49.52,Welche Fläche nimmt Marktredwitz ein?
15.41,Wie groß ist die Fläche von Kelsterbach?
32.69,Wie groß ist die Fläche von Oerlinghausen?
137.67,Wie groß ist die Fläche von Thale?
98.30,Wie groß ist die Fläche von Kamenz / Kamjenc?
24.12,Welche Fläche nimmt Bendorf ein?
41.39,Wie viele Quadratmeter umfasst die Stadt Eutin?
11.55,Wie viele Quadratmeter umfasst die Stadt Schwarzenbek?
66.85,Welche Fläche nimmt Babenhausen ein?
46.77,Wie groß ist die Fläche der Stadt Eltville am Rhein?
70.87,Wie groß ist die Fläche von Heilbad Heiligenstadt?
82.72,Wie groß ist die Fläche der Stadt Gunzenhausen?
66.98,Wie viele Quadratmeter umfasst die Stadt Kronach?
76.68,Wie groß ist die Fläche der Stadt Kelheim?
13.94,Wie viele Quadratmeter umfasst die Stadt Ginsheim-Gustavsburg?
119.75,Welche Fläche nimmt Hünfeld ein?
50.63,Wie groß ist die Fläche der Stadt Wittenberge?
57.79,Wie groß ist die Fläche von Bad Wörishofen?
25.73,Wie groß ist die Fläche von Penzberg?
25.05,Wie groß ist die Fläche der Stadt Königstein im Taunus?
11.07,Wie groß ist die Fläche von Heidenau?
133.49,Wie groß ist die Fläche der Stadt Marienberg?
34.46,Wie groß ist die Fläche der Stadt Bürstadt?
51.01,Wie groß ist die Fläche von Bad Lippspringe?
44.42,Wie groß ist die Fläche der Stadt Altena?
27.70,Wie viele Quadratmeter umfasst die Stadt Reinheim?
43.99,Wie viele Quadratmeter umfasst die Stadt Guben?
55.61,Wie viele Quadratmeter umfasst die Stadt Blaustein?
168.85,Welche Fläche nimmt Bassum ein?
16.07,Wie viele Quadratmeter umfasst die Stadt Sulzbach/ Saar?
90.95,Wie groß ist die Fläche der Stadt Kirchhain?
69.00,Wie groß ist die Fläche von Wurzen?
74.00,Wie groß ist die Fläche von Straelen?
68.86,Wie groß ist die Fläche der Stadt Pocking?
45.75,Wie groß ist die Fläche von Brackenheim?
173.92,Welche Fläche nimmt Brakel ein?
13.14,Wie groß ist die Fläche der Stadt Freiberg am Neckar?
12.60,Wie groß ist die Fläche von Raunheim?
77.23,Welche Fläche nimmt Halver ein?
12.15,Wie groß ist die Fläche von Wendlingen am Neckar?
86.98,Welche Fläche nimmt Michelstadt ein?
89.41,Welche Fläche nimmt Erwitte ein?
71.91,Wie viele Quadratmeter umfasst die Stadt Kierspe?
46.31,Wie groß ist die Fläche von Schwarzenberg/Erzgeb.?
14.40,Wie groß ist die Fläche der Stadt Preetz?
15.82,Wie groß ist die Fläche von Bargteheide?
135.14,Wie groß ist die Fläche der Stadt Zeulenroda-Triebes?
58.46,Wie groß ist die Fläche der Stadt Markranstädt?
99.99,Wie viele Quadratmeter umfasst die Stadt Bad Bentheim?
129.71,Wie groß ist die Fläche der Stadt Alsfeld?
113.30,Wie viele Quadratmeter umfasst die Stadt Schlüchtern?
81.23,Wie groß ist die Fläche von Weener?
126.47,Wie groß ist die Fläche von Bad Arolsen?
43.48,Wie viele Quadratmeter umfasst die Stadt Füssen?
18.06,Wie groß ist die Fläche der Stadt Marbach am Neckar?
131.13,Wie groß ist die Fläche von Königslutter am Elm?
139.51,Welche Fläche nimmt Lübbenau/Spreewald / Lubnjow/Błota ein?
77.52,Wie groß ist die Fläche der Stadt Finsterwalde?
33.22,Wie groß ist die Fläche der Stadt Taucha?
46.84,Welche Fläche nimmt Eilenburg ein?
47.55,Wie groß ist die Fläche von Bitburg?
111.14,Wie groß ist die Fläche von Wadern?
75.17,Wie groß ist die Fläche von Künzelsau?
106.60,Welche Fläche nimmt Drensteinfurt ein?
54.59,Wie groß ist die Fläche der Stadt Breisach am Rhein?
18.58,Welche Fläche nimmt Erlensee ein?
48.59,Wie groß ist die Fläche von Altdorf b.Nürnberg?
379.58,Wie viele Quadratmeter umfasst die Stadt Templin?
26.26,Wie viele Quadratmeter umfasst die Stadt Ebersbach an der Fils?
137.48,Wie viele Quadratmeter umfasst die Stadt Rahden?
75.03,Wie viele Quadratmeter umfasst die Stadt Langenau?
23.08,Wie viele Quadratmeter umfasst die Stadt Dieburg?
19.91,Wie groß ist die Fläche der Stadt Walldorf?
122.83,Wie groß ist die Fläche von Ribnitz-Damgarten?
74.88,Welche Fläche nimmt Boppard ein?
56.42,Welche Fläche nimmt Mindelheim ein?
5.70,Welche Fläche nimmt Eppelheim ein?
86.37,Welche Fläche nimmt Hofgeismar ein?
11.49,Welche Fläche nimmt Stadtbergen ein?
19.73,Wie viele Quadratmeter umfasst die Stadt Neustadt in Holstein?
36.90,Wie groß ist die Fläche der Stadt Bad Neustadt a.d.Saale?
6.47,Wie groß ist die Fläche der Stadt Schwalbach am Taunus?
63.43,Wie groß ist die Fläche der Stadt Weißwasser/O.L.?
43.27,Wie viele Quadratmeter umfasst die Stadt Gehrden?
61.54,Wie groß ist die Fläche der Stadt Mainburg?
24.14,Wie groß ist die Fläche von Bad Bramstedt?
99.10,Wie groß ist die Fläche der Stadt Blomberg?
194.52,Welche Fläche nimmt Munster ein?
41.88,Welche Fläche nimmt Ober-Ramstadt ein?
90.42,Wie groß ist die Fläche der Stadt Lohr a.Main?
99.56,Welche Fläche nimmt Dorfen ein?
108.76,Welche Fläche nimmt Langelsheim ein?
125.44,Wie groß ist die Fläche der Stadt Landsberg?
61.89,Welche Fläche nimmt Neustadt b.Coburg ein?
126.78,Wie groß ist die Fläche von Witzenhausen?
31.61,Wie viele Quadratmeter umfasst die Stadt Schriesheim?
38.30,Wie viele Quadratmeter umfasst die Stadt Brake (Unterweser)?
28.17,Welche Fläche nimmt Markgröningen ein?
98.15,Wie groß ist die Fläche von Karlstadt?
182.24,Wie viele Quadratmeter umfasst die Stadt Bad Wurzach?
43.69,Welche Fläche nimmt Clausthal-Zellerfeld ein?
88.81,Wie groß ist die Fläche von Fritzlar?
55.81,Wie groß ist die Fläche von Usingen?
50.52,Wie groß ist die Fläche der Stadt Hückeswagen?
80.59,Wie groß ist die Fläche der Stadt Kraichtal?
86.07,Wie groß ist die Fläche der Stadt Selb?
81.12,Welche Fläche nimmt Hilchenbach ein?
55.50,Wie groß ist die Fläche von Schwabmünchen?
42.23,Wie viele Quadratmeter umfasst die Stadt Jever?
67.13,Wie viele Quadratmeter umfasst die Stadt Pattensen?
116.93,Welche Fläche nimmt Münsingen ein?
85.39,Welche Fläche nimmt Isny im Allgäu ein?
93.53,Wie groß ist die Fläche der Stadt Neustadt a.d.Donau?
81.60,Welche Fläche nimmt Wilsdruff ein?
94.44,Wie groß ist die Fläche von Lauda-Königshofen?
24.79,Wie groß ist die Fläche von Uhingen?
36.12,Wie groß ist die Fläche der Stadt Neu-Anspach?
10.64,Wie groß ist die Fläche der Stadt Plochingen?
26.23,Wie viele Quadratmeter umfasst die Stadt Langenselbold?
30.29,Wie groß ist die Fläche von Ratzeburg?
118.00,Wie viele Quadratmeter umfasst die Stadt Olsberg?
45.56,Wie viele Quadratmeter umfasst die Stadt Ottweiler?
33.77,Welche Fläche nimmt Montabaur ein?
55.92,Wie groß ist die Fläche der Stadt Oberndorf am Neckar?
19.51,Welche Fläche nimmt Stein ein?
81.44,Wie viele Quadratmeter umfasst die Stadt Immenstadt i.Allgäu?
40.35,Wie groß ist die Fläche von Spenge?
81.15,Welche Fläche nimmt Eberbach ein?
81.89,Welche Fläche nimmt Sandersdorf-Brehna ein?
40.91,Wie groß ist die Fläche von Markdorf?
60.26,Wie groß ist die Fläche der Stadt Abensberg?
78.90,Wie groß ist die Fläche der Stadt Löbau?
78.08,Wie groß ist die Fläche von Sassenberg?
41.26,Wie groß ist die Fläche der Stadt Mittweida?
82.03,Wie groß ist die Fläche der Stadt Gernsbach?
54.60,Wie groß ist die Fläche von Bad Camberg?
352.25,Welche Fläche nimmt Jessen (Elster) ein?
18.58,Wie groß ist die Fläche der Stadt Hohenstein-Ernstthal?
20.61,Wie groß ist die Fläche der Stadt Tornesch?
103.99,Wie groß ist die Fläche von Dippoldiswalde?
93.26,Welche Fläche nimmt Burglengenfeld ein?
113.59,Wie groß ist die Fläche von Uslar?
420.27,Wie groß ist die Fläche der Stadt Wittstock/Dosse?
9.75,Wie viele Quadratmeter umfasst die Stadt Neutraubling?
93.71,Wie groß ist die Fläche von Bebra?
100.11,Wie groß ist die Fläche der Stadt Homberg (Efze)?
88.20,Wie groß ist die Fläche der Stadt Kalkar?
77.61,Welche Fläche nimmt Lich ein?
120.85,Wie groß ist die Fläche von Lübben (Spreewald) / Lubin (Błota)?
29.58,Wie groß ist die Fläche von Grafing b.München?
25.24,Wie viele Quadratmeter umfasst die Stadt Lorsch?
89.30,Wie groß ist die Fläche der Stadt Lauchhammer?
71.15,Wie groß ist die Fläche von Murrhardt?
87.85,Wie groß ist die Fläche von Leuna?
55.44,Welche Fläche nimmt Oschatz ein?
17.81,Welche Fläche nimmt Schwentinental ein?
44.35,Welche Fläche nimmt Eggenfelden ein?
89.72,Wie groß ist die Fläche der Stadt Hilpoltstein?
101.98,Wie groß ist die Fläche von Lauterbach (Hessen)?
84.40,Wie viele Quadratmeter umfasst die Stadt Landau a.d.Isar?
79.97,Wie viele Quadratmeter umfasst die Stadt Rotenburg a. d. Fulda?
18.09,Welche Fläche nimmt Grünstadt ein?
74.13,Wie viele Quadratmeter umfasst die Stadt Zeven?
188.15,Welche Fläche nimmt Wanzleben-Börde ein?
61.52,Wie groß ist die Fläche von Erbach?
23.69,Wie viele Quadratmeter umfasst die Stadt Vöhringen?
63.29,Wie viele Quadratmeter umfasst die Stadt Erbach?
19.81,Wie viele Quadratmeter umfasst die Stadt Meerane?
53.72,Wie groß ist die Fläche von Weißenhorn?
43.57,Wie groß ist die Fläche der Stadt Aßlar?
65.62,Wie groß ist die Fläche von Frankenberg/Sa.?
50.54,Wie groß ist die Fläche der Stadt Philippsburg?
324.24,Welche Fläche nimmt Angermünde ein?
63.09,Wie viele Quadratmeter umfasst die Stadt Melsungen?
89.22,Wie groß ist die Fläche der Stadt Grünberg?
23.35,Welche Fläche nimmt Schneeberg ein?
24.19,Wie groß ist die Fläche der Stadt Eppstein?
34.02,Welche Fläche nimmt Solms ein?
36.18,Wie groß ist die Fläche von Buchloe?
51.49,Wie groß ist die Fläche von Bergen auf Rügen?
70.87,Wie groß ist die Fläche von Höchstadt a.d.Aisch?
36.93,Wie groß ist die Fläche der Stadt Hettstedt?
94.53,Wie groß ist die Fläche der Stadt Schmölln?
17.96,Welche Fläche nimmt Quakenbrück ein?
44.64,Welche Fläche nimmt Krumbach (Schwaben) ein?
48.80,Wie viele Quadratmeter umfasst die Stadt Ettenheim?
52.66,Wie viele Quadratmeter umfasst die Stadt Haßfurt?
143.52,Wie groß ist die Fläche von Löningen?
249.36,Wie groß ist die Fläche von Oebisfelde-Weferlingen?
58.59,Wie viele Quadratmeter umfasst die Stadt Bad Soden-Salmünster?
90.50,Wie groß ist die Fläche der Stadt Pfullendorf?
5.80,Wie viele Quadratmeter umfasst die Stadt Asperg?
47.79,Wie groß ist die Fläche von Eichstätt?
13.39,Wie groß ist die Fläche von Holzgerlingen?
18.50,Wie viele Quadratmeter umfasst die Stadt Spaichingen?
230.76,Wie groß ist die Fläche der Stadt Genthin?
